SpeciesID,DNA_Tags,BirthGeneration,ParentID,PeakPopulation,ExtinctionGeneration,Notes,IsCivilization
物种-000,生命,1,,22973,436,创始原型,False
物种-001,"想象, 生命",1,物种-000,6,1,从 物种-000 变异而来,False
物种-002,"未来, 生命",1,物种-000,12,1,从 物种-000 变异而来,False
物种-003,"学习, 生命",1,物种-000,6,1,从 物种-000 变异而来,False
物种-004,"冲突, 生命",1,物种-000,5,1,从 物种-000 变异而来,False
物种-005,"合作, 生命",1,物种-000,11,1,从 物种-000 变异而来,False
物种-006,"生命, 知识",1,物种-000,4,1,从 物种-000 变异而来,False
物种-007,"消耗, 生命",1,物种-000,6,1,从 物种-000 变异而来,False
物种-008,"情感体验, 生命",1,物种-000,6,1,从 物种-000 变异而来,False
物种-009,"创造, 生命",1,物种-000,8,1,从 物种-000 变异而来,False
物种-010,"创造艺术, 生命",1,物种-000,7,1,从 物种-000 变异而来,False
物种-011,"支持, 生命",1,物种-000,5,1,从 物种-000 变异而来,False
物种-012,"生命, 质疑现实",1,物种-000,5,1,从 物种-000 变异而来,False
物种-013,"生命, 适应",2,物种-000,13,2,从 物种-000 变异而来,False
物种-014,"生命, 超越",2,物种-000,6,2,从 物种-000 变异而来,False
物种-015,"反思, 生命",2,物种-000,3,2,从 物种-000 变异而来,False
物种-016,"生命, 记忆",2,物种-000,3,2,从 物种-000 变异而来,False
物种-017,"元思维, 生命",2,物种-000,11,2,从 物种-000 变异而来,False
物种-018,"生命, 繁殖",2,物种-000,7,2,从 物种-000 变异而来,False
物种-019,"和谐, 生命",2,物种-000,15,2,从 物种-000 变异而来,False
物种-020,"感知, 生命",2,物种-000,13,2,从 物种-000 变异而来,False
物种-021,"生命, 直觉",2,物种-000,12,2,从 物种-000 变异而来,False
物种-022,"文明, 生命",2,物种-000,11,2,从 物种-000 变异而来,False
物种-023,"生命, 等级",2,物种-000,7,2,从 物种-000 变异而来,False
物种-024,"生命, 竞争",2,物种-000,6,2,从 物种-000 变异而来,False
物种-025,"流动, 生命",3,物种-000,2,3,从 物种-000 变异而来,False
物种-026,"复杂结构, 生命",3,物种-000,8,3,从 物种-000 变异而来,False
物种-027,"意识提取, 生命",3,物种-000,7,3,从 物种-000 变异而来,False
物种-028,"哲学探寻, 生命",3,物种-000,2,3,从 物种-000 变异而来,False
物种-029,"生命, 自我意识",3,物种-000,3,3,从 物种-000 变异而来,False
物种-030,"生命, 结构",3,物种-000,2,3,从 物种-000 变异而来,False
物种-031,"生命, 目标",3,物种-000,3,3,从 物种-000 变异而来,False
物种-032,"生命, 组织",3,物种-000,2,3,从 物种-000 变异而来,False
物种-033,"寻根溯源, 生命",3,物种-000,2,3,从 物种-000 变异而来,False
物种-034,"生命, 过去",3,物种-000,9,3,从 物种-000 变异而来,False
物种-035,"生命, 自组织",3,物种-000,2,3,从 物种-000 变异而来,False
物种-036,"生命, 综合",3,物种-000,4,3,从 物种-000 变异而来,False
物种-037,"文化, 生命",3,物种-000,7,3,从 物种-000 变异而来,False
物种-038,"创世, 生命",4,物种-000,4,4,从 物种-000 变异而来,False
物种-039,"交换, 生命",4,物种-000,4,4,从 物种-000 变异而来,False
物种-040,"推理, 生命",4,物种-000,1,4,从 物种-000 变异而来,False
物种-041,"生命, 预测",4,物种-000,2,4,从 物种-000 变异而来,False
物种-042,"变异, 生命",4,物种-000,2,4,从 物种-000 变异而来,False
物种-043,"创新, 生命",4,物种-000,5,4,从 物种-000 变异而来,False
物种-044,"交流, 生命",4,物种-000,1,4,从 物种-000 变异而来,False
物种-045,"学习, 流动, 生命",5,物种-025,2,5,从 物种-025 变异而来,False
物种-046,"生命, 等级, 结构",5,物种-023,1,5,从 物种-023 变异而来,False
物种-047,"工具, 生命",5,物种-000,1,5,从 物种-000 变异而来,False
物种-048,"生命, 领导",5,物种-000,1,5,从 物种-000 变异而来,False
物种-049,"生命, 键合",5,物种-000,1,5,从 物种-000 变异而来,False
物种-050,"生命, 行动",6,物种-000,1,6,从 物种-000 变异而来,False
