seed,steps,alive,combos,overall,time_s,combos_accepted,rej_significance,alive_min,beta_mean
42,5000,174,62,0.6061,1575.2,62,4874,174,0.767
43,5000,200,56,0.6525,1093.7,56,1389,199,0.749
44,5000,199,52,0.6501,1011.8,52,884,197,0.487
45,5000,133,104,0.7287,1160.8,104,2212,133,1.79
47,5000,195,52,0.65,1045.0,52,1306,195,0.304
48,5000,197,65,0.7169,1071.3,65,2341,194,0.867
49,5000,200,54,0.652,1011.2,54,1206,200,0.979
50,5000,199,58,0.6526,1073.5,58,1457,198,0.735
51,5000,200,56,0.6522,1147.0,56,1270,200,0.882
52,5000,200,50,0.6506,1059.5,50,1334,200,0.956
53,5000,188,51,0.645,1010.6,51,1315,187,0.07
56,5000,192,55,0.6522,1094.8,55,1178,191,0.442
57,5000,200,51,0.6515,1065.1,51,1527,200,0.862
58,5000,181,55,0.734,1063.7,55,1997,178,0.715
59,5000,200,47,0.6502,1027.2,47,1860,200,0.986
60,5000,195,73,0.7192,1145.5,73,2466,194,4.259
61,5000,164,122,0.7361,1002.6,122,3803,152,0.752
SUMMARY,5000,"189.24 [180.04, 198.43]","62.53 [52.13, 72.93]","0.67 [0.65, 0.69]",1098,63,1907,188,0.98
PASS_RATE,13/17,≥160,≥50,≥0.65,76%,,,,
