ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
216,20000,1.5908,0.4492,203,0.4835,0.2085,Roma
216,20001,0.633,0.0793,203,0.2912,0.1197,Utopia
216,20002,0.6016,0.0813,200,0.2636,0.1096,Utopia
216,20003,0.9824,0.3356,212,0.4542,0.3007,Type_A
216,20004,1.3969,0.3387,212,0.2052,0.1216,Roma
216,20005,1.022,0.1391,200,1.1122,0.3485,Type_B
216,20006,0.9348,0.2826,215,0.359,0.2476,Type_A
216,20007,1.1609,0.2877,204,0.661,0.3094,Roma
216,20008,1.0254,0.3448,213,0.4869,0.3137,Roma
216,20009,0.6586,0.1202,200,0.3402,0.1308,Utopia
216,20010,1.4709,0.3722,216,0.2626,0.1497,Roma
216,20011,1.535,0.4272,213,0.3846,0.2014,Roma
216,20012,0.9178,0.2946,212,0.3847,0.272,Type_A
216,20013,0.976,0.3159,216,0.4072,0.2778,Type_A
216,20014,1.0529,0.1556,203,0.9337,0.3559,Type_B
216,20015,0.8993,0.2888,214,0.3666,0.2619,Type_A
216,20016,0.8833,0.2821,212,0.3514,0.2551,Type_A
216,20017,1.1152,0.2163,196,2.0072,0.5102,Type_B
216,20018,1.0346,0.4255,216,0.7139,0.4069,Roma
216,20019,1.0913,0.2826,178,0.0002,0.0001,Roma
216,20020,1.0479,0.2059,191,2.3348,0.5213,Type_B
216,20021,1.081,0.4416,153,0.8902,0.4602,Roma
216,20022,0.7587,0.0814,216,0.3431,0.1619,Utopia
216,20023,0.8966,0.2637,215,0.33,0.2305,Utopia
216,20024,0.7147,0.0805,206,0.3726,0.1532,Utopia
216,20025,1.1305,0.2861,154,0.0003,0.0003,Roma
216,20026,2.1285,0.6236,154,0.9509,0.237,Roma
216,20027,0.1761,0.0477,215,0.0002,0.0002,Utopia
216,20028,0.9636,0.3052,216,0.3784,0.2653,Type_A
216,20029,0.9944,0.3446,207,0.4853,0.3143,Roma
216,20030,0.8711,0.0938,205,0.6492,0.2411,Utopia
216,20031,0.5618,0.0772,205,0.24,0.1002,Utopia
216,20032,0.6192,0.0757,216,0.2316,0.1081,Utopia
216,20033,1.0435,0.3909,216,0.5865,0.3588,Roma
216,20034,1.0477,0.4246,216,0.7186,0.4075,Roma
216,20035,0.3152,0.0466,216,0.0002,0.0002,Utopia
216,20036,0.257,0.0469,216,0.0002,0.0002,Utopia
216,20037,1.073,0.2864,155,0.0003,0.0002,Roma
216,20038,1.0093,0.3819,215,0.5571,0.3488,Roma
216,20039,0.9263,0.2641,216,0.3337,0.2302,Utopia
216,20040,1.0142,0.3598,209,0.5156,0.3269,Roma
216,20041,1.0855,0.4077,164,0.7472,0.4169,Roma
216,20043,0.9808,0.2984,215,0.4188,0.2874,Type_A
216,20044,1.5472,0.4512,212,0.4029,0.1813,Roma
216,20045,0.6984,0.0858,205,0.3597,0.1528,Utopia
216,20046,0.1851,0.0485,210,0.0002,0.0001,Utopia
216,20047,1.5733,0.4605,209,0.4449,0.1969,Roma
216,20048,1.1337,0.1428,181,1.6848,0.4642,Type_B
216,20049,0.9096,0.2485,216,0.2841,0.2129,Utopia
216,20050,0.5863,0.0768,207,0.2368,0.0975,Utopia
216,20051,1.1213,0.2833,194,2.1287,0.5265,Roma
216,20052,0.7875,0.0845,211,0.4884,0.192,Utopia
216,20053,0.7018,0.1038,202,0.3523,0.1453,Utopia
216,20054,0.2211,0.0482,212,0.0002,0.0001,Utopia
216,20055,0.6609,0.0794,201,0.327,0.1287,Utopia
216,20056,1.6227,0.5545,201,0.7079,0.268,Roma
216,20057,1.1576,0.435,187,0.8634,0.4441,Roma
216,20058,0.9771,0.3314,213,0.4538,0.2986,Type_A
216,20059,1.5135,0.398,203,2.7106,0.2675,Roma
218,20000,1.5277,0.4083,218,0.3153,0.1511,Roma
218,20001,0.623,0.0734,218,0.2244,0.1046,Utopia
218,20002,0.6499,0.0743,218,0.3313,0.1275,Utopia
218,20003,1.0078,0.3806,211,0.5631,0.3493,Roma
218,20004,1.0214,0.1465,191,1.789,0.4283,Type_B
218,20005,1.0492,0.421,203,0.6742,0.3901,Roma
218,20006,0.92,0.2692,218,0.3436,0.2365,Utopia
218,20007,1.6936,0.5708,156,0.8464,0.2962,Roma
218,20008,0.8525,0.2313,204,0.3133,0.2358,Utopia
218,20009,0.9797,0.2989,218,0.3979,0.2667,Type_A
218,20010,1.1154,0.3372,210,3.2514,0.6108,Roma
218,20011,1.0724,0.0893,218,0.5296,0.2864,Type_B
218,20012,1.0271,0.3564,214,0.5107,0.3246,Roma
218,20013,0.9864,0.3491,208,0.4982,0.3201,Type_A
218,20014,1.4507,0.4423,185,4.4552,0.2927,Roma
218,20015,1.5206,0.3996,218,1.1243,0.2234,Roma
218,20016,0.8895,0.2826,214,0.3371,0.2474,Type_A
218,20017,1.6319,0.4484,218,0.4496,0.1984,Roma
218,20018,0.9058,0.2267,213,0.3195,0.2372,Utopia
218,20020,1.5751,0.4632,214,0.4385,0.1927,Roma
218,20021,1.0166,0.3929,208,0.5835,0.3588,Roma
218,20022,0.9476,0.2297,217,0.3296,0.2412,Utopia
218,20023,0.5641,0.0745,216,0.2111,0.0859,Utopia
218,20024,0.9224,0.2711,218,0.3406,0.2373,Utopia
218,20025,0.735,0.08,215,0.3451,0.1618,Utopia
218,20026,1.0959,0.4327,151,0.8854,0.4579,Roma
218,20027,0.873,0.228,207,0.3062,0.2296,Utopia
218,20028,1.5076,0.4662,218,2.3512,0.2622,Roma
218,20029,0.9063,0.5435,186,4.2397,0.7095,Type_A
218,20030,0.7358,0.0848,209,0.3708,0.1702,Utopia
218,20031,1.0683,0.2177,188,2.4525,0.5196,Type_B
218,20032,1.5672,0.4239,218,1.3815,0.2302,Roma
218,20033,0.2716,0.0466,218,0.0002,0.0002,Utopia
218,20034,0.2189,0.0476,217,0.0002,0.0001,Utopia
218,20035,1.5584,0.3883,218,1.1878,0.2302,Roma
218,20036,1.586,0.3935,218,1.1109,0.2197,Roma
