metric,final,mean
gini,0.1211,0.2634
gene_moran,0.0000,0.0107
loop_rate,8.8000,16.8673
shannon_H,1.1050,1.1481
field_entropy,0.1067,0.0647
lineage_count,11.0000,42.5514
max_generation,14.0000,8.1682
dominant_ratio,0.4883,0.3238
spatial_variance,1.9619,3.4727
comm_mi,0.0587,0.0622
f_frozen,0.0561,-
f_liquid,0.6262,-
f_chaos,0.0093,-
liquid_longest_run,42,-
time_to_liquid,1,-
H_at_200,0.2040,-
Gini_at_200,0.0000,-
SHARE_at_200,0.9718,-
H_at_600,1.2310,-
Gini_at_600,0.6028,-
SHARE_at_600,0.6195,-
H_at_2000,1.1050,-
Gini_at_2000,0.1071,-
SHARE_at_2000,0.4212,-
omega,4.4764,4.7991
omega_cv,0.1201,-
omega_mean_liquid,4.8405,-
omega_cv_liquid,0.1119,-
H_autocorr_early_500,0.0000,-
H_autocorr_late_500,0.0000,-
H_autocorr_delta_500,0.0000,-
time_to_gini_035,517,-
time_above_gini_035,33,-
gini_peak,0.6702,-
H_overheat_600,0,-
H_peak,1.4010,-
guardian_interventions,0,-
guardian_circuit_breaks,0,-
moon_events,0,-
disaster,0,-
guardian_trigger_frozen,0,-
guardian_trigger_overheat,0,-
guardian_trigger_share_imbalance,0,-
guardian_trigger_gini_warning,0,-
guardian_trigger_gini_danger,0,-
guardian_trigger_gini_meltdown,0,-
guardian_trigger_triple_warning,0,-
guardian_trigger_early_brake,0,-
intervention_help_rate_H,0.0000,-
intervention_help_rate_alive,0.0000,-
post_intervention_phase_flips_200,0,-
moon_epochs,1,-
interventions_per_epoch_p95,0,-
moon_lockouts,0,-
# === FGRL v2.5 ===,,
r_signal,0.2437,0.0081
r_sync,3.8479,15.7757
A_hat_P10,0.9091,0.9091
A_hat_P50,0.9091,0.9091
A_hat_P90,0.9091,0.9998
top1_action_ratio,0.5577,0.5888
ER_ratio,98.8018,99.9639
A_eff,38.4315,34.7104
action_entropy,1.1051,1.1481
msg_success_rate,,
trust_update_rate,,
trust_edge_ratio,,
giant_component_ratio,0.0000,0.0000
D_death_rate,0.9615,0.8800
D_decay_rate,,
D_intervention_rate,,
overlap_sun_moon,,
churn_rate,,
phase_mutual_info,,
# === Data Quality ===,,
fgrl_valid_ratio,1.0000,-
fgrl_valid_keys,A_eff|A_hat_P10|A_hat_P50|A_hat_P90|D_death_rate|ER_ratio|action_entropy|churn_rate|giant_component_ratio|r_signal|r_sync|top1_action_ratio,-
fgrl_dirty,,-
omega_cv_unstable,False,-
