ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
216,20005,1.022,0.1391,200,1.1122,0.3485,Type_B
216,20014,1.0529,0.1556,203,0.9337,0.3559,Type_B
216,20017,1.1152,0.2163,196,2.0072,0.5102,Type_B
216,20020,1.0479,0.2059,191,2.3348,0.5213,Type_B
216,20048,1.1337,0.1428,181,1.6848,0.4642,Type_B
218,20004,1.0214,0.1465,191,1.789,0.4283,Type_B
218,20011,1.0724,0.0893,218,0.5296,0.2864,Type_B
218,20031,1.0683,0.2177,188,2.4525,0.5196,Type_B
218,20051,1.1495,0.2717,198,3.5347,0.5559,Type_B
220,20008,1.1204,0.1945,188,1.9517,0.5066,Type_B
220,20031,1.0492,0.1351,209,1.2087,0.3817,Type_B
220,20035,1.0619,0.1955,194,2.4164,0.5342,Type_B
220,20038,1.0923,0.2217,192,2.3662,0.5135,Type_B
220,20039,1.0855,0.1229,190,1.4102,0.3823,Type_B
220,20054,1.0735,0.2265,194,2.3246,0.52,Type_B
220,20061,1.135,0.2256,187,2.0637,0.5141,Type_B
220,20065,1.2186,0.1187,206,1.0361,0.4077,Type_B
220,20067,1.0443,0.157,204,1.0236,0.3545,Type_B
220,20071,1.0905,0.1329,191,1.3823,0.404,Type_B
220,20072,1.1044,0.1846,190,1.8532,0.501,Type_B
220,20085,1.1539,0.1198,203,0.9621,0.4068,Type_B
220,20087,1.084,0.1785,200,1.405,0.4349,Type_B
220,20093,1.1014,0.1825,208,1.5157,0.4461,Type_B
222,20022,1.0451,0.1466,213,1.0331,0.3497,Type_B
222,20024,1.0814,0.182,198,2.008,0.4972,Type_B
222,20025,1.0795,0.2419,190,2.4119,0.4972,Type_B
222,20041,1.1146,0.1554,189,2.0692,0.5109,Type_B
222,20050,1.0382,0.198,213,0.093,0.0715,Type_B
222,20056,1.0549,0.2199,197,2.5674,0.5496,Type_B
224,20008,1.0849,0.1635,212,1.2294,0.3755,Type_B
224,20020,1.1408,0.1926,213,1.5165,0.4512,Type_B
224,20027,1.006,0.1317,208,0.9885,0.3419,Type_B
224,20031,1.1065,0.1934,201,2.1472,0.5111,Type_B
224,20045,1.0265,0.2026,211,0.0818,0.0628,Type_B
224,20052,1.0906,0.2091,196,2.6824,0.5746,Type_B
224,20053,1.2594,0.2732,218,0.2022,0.1391,Type_B
224,20067,1.2034,0.2726,217,0.1605,0.1131,Type_B
224,20076,1.2312,0.1987,207,1.0705,0.4453,Type_B
224,20078,1.0415,0.2224,201,2.9676,0.5623,Type_B
224,20083,1.1826,0.1485,207,0.8433,0.3796,Type_B
226,20002,1.0188,0.2164,217,0.0004,0.0003,Type_B
226,20007,1.1481,0.2634,213,3.0743,0.5394,Type_B
226,20015,1.0731,0.1395,197,2.2217,0.4526,Type_B
226,20016,1.2021,0.1225,225,1.0291,0.4072,Type_B
226,20018,1.1009,0.2487,191,4.1655,0.5261,Type_B
226,20040,1.0098,0.0911,226,0.5364,0.2691,Type_B
226,20043,1.1406,0.1743,190,2.0228,0.5107,Type_B
226,20044,1.006,0.1163,223,0.7545,0.3101,Type_B
226,20052,1.1851,0.1217,226,1.1017,0.42,Type_B
226,20056,1.0385,0.1909,201,2.7731,0.5587,Type_B
228,20036,1.0809,0.1663,198,2.5874,0.5008,Type_B
228,20045,1.1667,0.2271,210,1.1157,0.4413,Type_B
228,20056,1.0153,0.1341,218,1.0758,0.3635,Type_B
228,20058,1.1504,0.164,192,1.9863,0.4986,Type_B
230,20009,1.0685,0.1416,204,1.855,0.4745,Type_B
230,20012,1.1827,0.1103,212,1.2199,0.4606,Type_B
230,20027,1.1868,0.1039,214,0.8056,0.3644,Type_B
230,20042,1.0853,0.1894,201,2.3147,0.4951,Type_B
230,20076,1.0357,0.1784,206,2.6645,0.5449,Type_B
230,20093,1.0646,0.1468,216,1.3482,0.3779,Type_B
232,20006,1.2025,0.2055,214,1.162,0.457,Type_B
232,20007,1.1171,0.177,197,1.8102,0.4983,Type_B
232,20032,1.1236,0.1877,198,2.0997,0.5247,Type_B
232,20038,1.0461,0.1335,222,1.0896,0.3862,Type_B
234,20008,1.0452,0.2572,206,2.7257,0.5593,Type_B
234,20030,1.1245,0.2601,224,1.0816,0.3636,Type_B
234,20046,1.0016,0.1154,221,1.0251,0.3409,Type_B
