seed,steps,alive,combos,overall,time_s,combos_accepted,rej_significance,alive_min,beta_mean
43,5000,200,35,0.652,1066.8,35,1159,198,0.695
44,5000,154,104,0.7498,1102.9,104,1612,145,1.632
45,5000,194,31,0.6505,1086.1,31,1101,193,0.44
46,5000,200,34,0.6515,1035.6,34,1193,200,0.923
47,5000,95,46,0.7302,919.7,46,1169,91,0.893
48,5000,150,125,0.7348,1217.2,125,4676,144,0.949
49,5000,200,32,0.6506,1026.4,32,1794,200,0.889
50,5000,200,38,0.6532,1055.2,38,1339,196,0.755
51,5000,196,32,0.6527,1114.3,32,1417,192,0.24
52,5000,200,27,0.6484,1007.3,27,1036,200,1.002
53,5000,193,35,0.6515,1125.1,35,1517,190,0.484
54,5000,180,202,0.6943,1228.7,202,6171,176,0.76
55,5000,196,29,0.6497,1220.3,29,1799,194,0.505
57,5000,200,31,0.6505,1098.2,31,1448,197,0.712
58,5000,1,46,0.0529,698.1,46,920,1,6.48
59,5000,200,35,0.6513,1006.1,35,1087,200,0.914
60,5000,200,29,0.6492,1063.6,29,1606,199,0.842
61,5000,191,28,0.649,1051.6,28,895,188,0.46
SUMMARY,5000,"175.00 [149.53, 200.47]","52.17 [29.30, 75.03]","0.63 [0.56, 0.71]",1062,52,1774,172,1.09
PASS_RATE,1/18,≥160,≥50,≥0.65,6%,,,,
