seed,steps,alive,combos,overall,pass,pass_core,pass_v36,time_s,combos_accepted,rej_significance,alive_min,beta_mean,vote_events,rule_changes,deaths_starvation,deaths_combat,combat_events,fruit_collected,prey_hunted,crisis_on_steps,gini_final,gini_mean,gene_moran_final,gene_moran_mean,loop_rate_final,loop_rate_mean,shannon_H_final,shannon_H_mean,field_entropy_final,field_entropy_mean,lineage_count_final,max_generation_final,dominant_ratio_final,spatial_variance_final,guardian_interventions,guardian_circuit_breaks,moon_events,disaster,f_frozen,f_liquid,f_chaos,liquid_longest_run,time_to_liquid,phase_transition_count,H_at_200,H_at_600,H_at_2000,Gini_at_200,Gini_at_600,Gini_at_2000,SHARE_at_200,SHARE_at_600,SHARE_at_2000,omega_final,omega_mean,omega_cv
42,5000,397,73,0.7185,1,1,0,0,73,23,397,4.804,0,0,0,0,0,0,0,0,0.2555,0.2303,0.0,0.0,11.7,12.3636,1.02,1.041,0.1123,0.1115,167,4,0.0529,52.3887,0,0,24,0,0.0,0.9907,0.0093,106,2,0,0.935,1.012,1.019,0.0,0.252,0.2543,0.2405,0.2445,0.2346,3.5077,3.5935,0.0595
43,5000,398,89,0.7209,1,1,0,0,89,29,398,2.854,0,0,0,0,0,0,0,0,0.2737,0.2452,0.0,0.0,12.9,12.5673,1.345,1.3647,0.1114,0.1108,155,3,0.0452,46.9695,0,0,24,0,0.0,0.9252,0.0748,36,2,0,1.293,1.365,1.344,0.0,0.267,0.2764,0.1335,0.1372,0.1285,4.1543,4.2494,0.0414
44,5000,352,82,0.6697,0,1,0,0,82,78,352,8.555,0,0,0,0,0,0,0,0,0.6592,0.5762,0.0,0.0,15.0,13.2738,1.875,1.8079,0.111,0.1103,36,7,0.1562,83.915,0,0,24,0,0.0,0.0093,0.9907,1,2,0,1.701,1.752,1.822,0.0,0.6328,0.6496,0.32,0.3214,0.2979,5.8676,5.7662,0.0482
45,5000,128,38,0.6481,0,0,0,0,38,231,128,25.93,0,0,214,0,0,0,0,3708,0.6844,0.4978,0.0,0.0,16.6,16.2327,0.674,0.5584,0.1125,0.1118,115,1,0.0234,105.8808,0,0,24,0,0.9813,0.0093,0.0093,1,2,0,0.176,0.276,0.713,0.0,0.3592,0.6299,0.978,0.955,0.8465,3.9422,3.7901,0.0931
46,5000,390,68,0.652,0,1,0,0,68,109,390,6.747,0,0,8,0,0,0,0,0,0.4597,0.4068,0.0,0.0,12.1,11.7981,1.832,1.8918,0.1122,0.1115,70,5,0.0692,38.9078,0,0,24,0,0.0,0.0093,0.9907,1,2,0,1.851,1.868,1.837,0.0,0.4463,0.4396,0.1514,0.1564,0.1435,5.4578,5.719,0.0555
47,5000,393,59,0.7237,0,1,0,0,59,25,393,6.486,0,0,0,0,0,0,0,0,0.3339,0.3035,0.0,0.0,13.6,13.9495,1.13,1.1391,0.112,0.1114,120,4,0.0585,48.6343,0,0,24,0,0.0,0.0841,0.0093,9,2,0,1.026,1.092,1.135,0.0,0.3333,0.3361,0.3261,0.3297,0.3144,4.0047,4.0599,0.047
48,5000,108,23,0.6213,0,0,0,0,23,207,108,27.338,0,0,96,0,0,0,0,4330,0.7913,0.5689,0.0,0.0,19.2,20.3935,0.501,0.4988,0.1105,0.1099,107,1,0.0,104.6981,0,0,24,0,0.9813,0.0093,0.0093,1,2,0,0.119,0.272,0.688,0.0,0.3853,0.7019,0.9858,0.9549,0.8352,3.4186,3.5753,0.1006
49,5000,13,42,0.6729,0,0,0,0,42,404,13,16.726,0,0,16,0,0,0,0,4339,0.469,0.6136,0.0,0.0,24.1,20.3832,1.638,1.5317,0.1113,0.1106,10,18,0.2308,85.3279,0,0,24,0,0.0,0.0748,0.8692,7,2,0,1.207,1.337,1.614,0.0,0.7004,0.7264,0.4799,0.4687,0.3822,5.6804,5.2131,0.0515
50,5000,384,58,0.7053,1,1,0,0,58,20,384,3.872,0,0,0,0,0,0,0,0,0.2107,0.1885,0.0,0.0,14.6,13.9981,0.912,0.9205,0.1119,0.1112,66,4,0.1172,74.9277,0,0,24,0,0.0,0.9907,0.0093,106,2,0,0.829,0.912,0.895,0.0,0.2016,0.2062,0.1975,0.1995,0.1936,3.1073,3.1547,0.0776
51,5000,111,28,0.6484,0,0,0,0,28,218,111,25.375,0,0,160,0,0,0,0,4337,0.7354,0.5202,0.0,0.0,23.5,19.1187,0.777,0.5206,0.1097,0.109,104,1,0.0,108.6346,0,0,24,0,0.9813,0.0093,0.0093,1,2,0,0.142,0.263,0.631,0.0,0.3715,0.7078,0.9827,0.9568,0.8622,4.0724,3.6799,0.0971
