seed,steps,alive,combos,pass,pass_core,combos_accepted,gini_last,shannon_H_last,gini_mean_real,shannon_H_mean_real,f_frozen,f_liquid,f_chaos,deaths_starvation,deaths_combat,guardian_version,guardian_interventions,austerity_count,stimulate_count,cooldown_count,behavior_triggers,physics_triggers,C_t_final,share_rate_max,ratio_sg_max,first_step_share_over_0_7
42,5000,125,36,0,1,36,0.4734,1.516,0.4286,1.5317,0.0,0.0187,0.9813,16,0,,0,0,0,0,0,0,13.7661,0.2589,0.5062,
43,5000,145,61,0,1,61,0.4232,1.061,0.4065,1.1362,0.0,1.0,0.0,9,0,,0,0,0,0,0,0,12.4028,0.4946,1.0149,
44,5000,6,24,0,0,24,0.5554,1.5,0.5499,0.7604,0.5607,0.3645,0.0748,0,0,,0,0,0,0,0,0,2.9999,0.9896,98.9612,141
45,5000,139,92,0,1,92,0.6615,1.754,0.5702,1.7152,0.0,0.0187,0.9813,11,0,,0,0,0,0,0,0,15.613,0.3235,0.9719,
46,5000,132,76,0,1,76,0.6498,1.276,0.5599,1.2167,0.0,1.0,0.0,1,0,,0,0,0,0,0,0,12.978,0.0072,0.0084,
47,5000,133,87,0,1,87,0.6411,1.134,0.5789,1.0907,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,12.282,0.6559,2.0177,
48,5000,11,27,0,0,27,0.4316,0.0,0.5581,0.5662,0.7757,0.2243,0.0,0,0,,0,0,0,0,0,0,0.0,1.0,100.0,141
49,5000,192,65,1,1,65,0.3297,0.983,0.3004,1.0057,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,13.7416,0.3293,0.5023,
50,5000,6,22,0,0,22,0.2304,0.781,0.6048,0.5388,0.8972,0.1028,0.0,16,0,,0,0,0,0,0,0,2.165,1.0,100.0,141
51,5000,5,28,0,0,28,0.5597,1.218,0.6143,0.6819,0.5234,0.4766,0.0,32,0,,0,0,0,0,0,0,2.4679,1.0,100.0,141
52,5000,9,26,0,0,26,0.6534,1.296,0.598,0.7964,0.4766,0.4953,0.028,0,0,,0,0,0,0,0,0,3.4154,0.9931,99.307,141
53,5000,6,19,0,0,19,0.7562,0.704,0.51,0.9235,0.4579,0.2523,0.2897,0,0,,0,0,0,0,0,0,2.055,0.9984,99.8358,141
54,5000,185,55,0,1,55,0.4374,1.095,0.3858,1.1137,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,14.2308,0.4317,0.7975,
55,5000,133,40,0,1,40,0.9687,0.08,0.8078,0.2983,0.9252,0.0748,0.0,0,0,,0,0,0,0,0,0,3.2583,0.0075,0.0135,
56,5000,136,69,0,1,69,0.3992,0.982,0.3865,1.0293,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,11.5586,0.4502,0.8191,
57,5000,18,28,0,0,28,0.922,0.769,0.6023,0.5924,0.8224,0.1776,0.0,0,0,,0,0,0,0,0,0,3.72,0.9907,99.0683,141
58,5000,152,79,0,1,79,0.5145,1.109,0.4448,1.0623,0.0,1.0,0.0,6,0,,0,0,0,0,0,0,12.9838,0.4954,0.9912,
59,5000,172,56,0,1,56,0.4855,1.599,0.428,1.5879,0.0,0.0187,0.9813,24,0,,0,0,0,0,0,0,16.5865,0.2515,0.5137,
60,5000,150,59,0,1,59,0.4439,1.15,0.4237,1.1544,0.0,1.0,0.0,4,0,,0,0,0,0,0,0,13.1339,0.4984,1.0141,
61,5000,198,51,0,1,51,0.3385,0.992,0.3077,1.0263,0.0,1.0,0.0,0,0,,0,0,0,0,0,0,14.0135,0.3345,0.5221,
