seed,final_step,gini_final,gene_moran_final,loop_rate_final,shannon_H_final,field_entropy_final,gini_mean,gene_moran_mean,loop_rate_mean,shannon_H_mean,field_entropy_mean
42,4800,0.5292,0.0,3.0,1.121,0.0505,0.5018666666666667,0.0,3.2666666666666666,0.61475,0.045225
43,4800,0.0954,0.0,4.9,0.313,0.0537,0.05295833333333333,0.0,4.7,0.27575,0.04426666666666667
44,4800,0.0968,0.2107,5.2,0.181,0.0561,0.0532875,0.03950833333333333,5.0875,0.21004166666666665,0.045595833333333335
45,4800,0.4373,0.0,3.9,1.417,0.0397,0.43369166666666664,0.003583333333333333,4.445833333333334,1.324625,0.0374875
46,3400,0.8716,-0.006,9.9,1.045,0.0378,0.7688705882352941,0.29194117647058826,8.464705882352941,0.7243529411764706,0.03682941176470588
47,4800,0.0977,0.0,4.9,0.197,0.0536,0.05460416666666666,0.0,4.925,0.14833333333333334,0.043583333333333335
48,4800,0.2334,0.0,4.9,1.044,0.0614,0.2185125,0.0,4.795833333333333,1.038,0.051366666666666665
49,4800,0.0955,0.0,5.2,0.302,0.0558,0.052504166666666664,0.03340833333333333,5.108333333333333,0.3344166666666667,0.0457125
50,4800,0.0962,0.0,4.8,0.299,0.0541,0.053241666666666666,0.0,4.8,0.27470833333333333,0.0450625
51,4800,0.0955,0.0,4.4,0.316,0.0535,0.052741666666666666,0.019116666666666667,4.491666666666667,0.3109166666666667,0.04504166666666667
52,4800,0.095,0.0,5.2,0.311,0.054,0.0526,0.0,4.845833333333333,0.32908333333333334,0.044408333333333334
53,4800,0.1048,0.0963,5.0,0.07,0.0548,0.05742083333333334,0.053925,5.108333333333333,0.060125,0.044395833333333336
54,3400,0.875,0.0294,10.8,0.17,0.0357,0.7440823529411765,0.07528235294117648,9.158823529411764,0.17588235294117646,0.03504705882352941
55,3800,0.8511,-0.1048,10.7,0.564,0.041,0.7902631578947369,0.32562631578947365,7.926315789473684,0.6730526315789473,0.039315789473684214
56,4800,0.0994,0.0,4.8,0.289,0.0524,0.056516666666666666,0.0,4.7125,0.18454166666666666,0.043008333333333336
57,4800,0.0956,0.0,5.0,0.318,0.0551,0.05285416666666667,0.0353625,4.845833333333333,0.30695833333333333,0.045170833333333334
58,4800,0.2503,0.0,4.8,1.017,0.0605,0.21473333333333333,0.0153625,4.8625,1.0030416666666666,0.0507875
59,4800,0.0956,0.1318,5.2,0.32,0.0624,0.0526875,0.03643333333333333,5.016666666666667,0.3415416666666667,0.0521875
60,4800,0.2597,0.0,4.5,0.934,0.0616,0.22965833333333333,0.06867083333333333,4.495833333333334,0.91525,0.05095
61,4800,0.2219,0.0,5.3,1.116,0.3111,0.22290833333333335,0.0,5.179166666666666,1.0215416666666666,0.2508666666666667
